ID,Name,Age,Country,Score
1,Kevin,38,Ireland,71
2,David,50,Greece,44
3,Rachel,50,Switzerland,16
4,Matt,39,Singapore,84
5,Ivan,49,Italy,20
6,Zack,59,Mexico,84
7,Matt,42,Norway,42
8,Nora,53,Sweden,46
9,Hannah,28,New Zealand,52
10,Grace,52,Sweden,37
11,David,54,Austria,95
12,Hannah,25,Malaysia,22
13,Victor,24,Thailand,10
14,David,60,Israel,4
15,Steve,51,Thailand,49
16,Zack,21,South Korea,3
17,Ethan,37,UAE,17
18,Mike,21,Canada,18
19,Aaron,40,Greece,27
20,Nora,52,Brazil,13
21,Nora,42,Ireland,7
22,Yvonne,47,Malaysia,65
23,Matt,62,Spain,44
24,Alice,33,Malaysia,74
25,Mike,35,Finland,92
26,Kyle,22,Canada,5
27,Frank,26,Greece,29
28,Grace,18,India,82
29,Ivan,20,South Korea,0
30,Quinn,40,New Zealand,48
31,Nina,21,Portugal,4
32,Lily,36,India,54
33,Irene,47,USA,73
34,Kyle,50,Thailand,69
35,Mike,50,Russia,41
36,Paula,46,Israel,95
37,Eve,25,Egypt,55
38,Yvonne,29,Sweden,41
39,Quinn,42,South Korea,62
40,Frank,29,Austria,33
41,Bella,52,Norway,67
42,Henry,64,Philippines,51
43,Alice,39,South Africa,74
44,Jack,20,Mexico,29
45,Hannah,38,Israel,36
46,David,62,UK,37
47,Ethan,64,Vietnam,21
48,Irene,37,Finland,13
49,Uma,36,Philippines,40
50,Kyle,52,UAE,2
51,Paula,60,China,33
52,Fiona,29,UAE,29
53,Quinn,38,Russia,74
54,Lily,24,Malaysia,16
55,Paula,24,Belgium,36
56,Kevin,54,South Korea,44
57,Julia,46,USA,40
58,Yvonne,48,Norway,86
59,Ivan,64,Switzerland,26
60,Bob,60,Belgium,21
61,David,32,Malaysia,32
62,Fiona,35,Vietnam,31
63,Zack,41,Denmark,2
64,Tina,52,Thailand,78
65,Henry,42,UK,24
66,Steve,51,Italy,100
67,Nora,63,Italy,0
68,Ivan,19,Italy,89
69,Nora,32,Israel,100
70,George,35,Norway,74
71,Charlie,18,Indonesia,6
72,Quinn,40,Canada,7
73,Ivan,34,Portugal,81
74,Mike,45,Vietnam,29
75,Ethan,18,Australia,4
76,Diana,52,France,28
77,Nora,19,Thailand,36
78,Oscar,22,Mexico,11
79,Uma,18,Norway,69
80,Carl,52,Denmark,14
81,Grace,50,Vietnam,10
82,Julia,43,Italy,62
83,Uma,23,Brazil,76
84,Jack,50,New Zealand,87
85,Laura,44,UK,93
86,David,39,Saudi Arabia,100
87,Nina,45,China,59
88,Hannah,35,Saudi Arabia,90
89,Rachel,53,South Africa,86
90,Tina,65,South Africa,17
91,Yvonne,21,Finland,78
92,Nina,55,Indonesia,44
93,Quinn,63,Canada,79
94,Frank,19,Sweden,96
95,Carl,25,Italy,54
96,Aaron,47,Australia,78
97,Kevin,48,Belgium,90
98,Ethan,39,Belgium,17
99,Mike,52,UAE,8
100,Tina,60,South Korea,57
101,Alice,37,Australia,7
102,Irene,25,New Zealand,99
103,Aaron,62,China,47
104,Julia,23,Thailand,98
105,Wendy,37,Singapore,61
106,Nina,35,Sweden,97
107,Steve,19,Australia,46
108,Hannah,39,Italy,50
109,David,60,Norway,26
110,Fiona,30,Turkey,15
111,Wendy,52,Australia,22
112,Matt,21,Israel,3
113,Ivan,23,Australia,68
114,Kyle,59,Germany,99
115,Julia,37,Turkey,73
116,Irene,55,Israel,77
117,Diana,54,Belgium,5
118,Kevin,30,South Korea,54
119,Bella,46,Saudi Arabia,81
120,Julia,39,Spain,1
121,Kyle,52,Ireland,82
122,Paula,19,Sweden,91
123,Kyle,58,UAE,31
124,George,64,Japan,100
125,Ethan,22,Greece,47
126,Steve,56,UK,91
127,Irene,65,Netherlands,91
128,Carl,52,China,11
129,Yvonne,27,Portugal,66
130,Matt,25,Philippines,48
131,Diana,55,Portugal,69
132,Yvonne,33,India,49
133,Nora,30,Russia,5
134,Alice,62,UK,4
135,Ivan,34,Germany,6
136,Hannah,37,South Africa,3
137,Ethan,27,Australia,70
138,Matt,49,USA,30
139,Grace,29,Netherlands,80
140,Diana,60,Israel,83
141,Xavier,38,Thailand,25
142,Grace,45,UK,22
143,Charlie,50,USA,89
144,Nina,22,South Korea,28
145,Zack,64,Indonesia,0
146,Yvonne,18,New Zealand,58
147,Hannah,62,Italy,37
148,Carl,29,Vietnam,0
149,Hannah,18,Saudi Arabia,56
150,Lily,24,South Africa,64
151,Oscar,50,Finland,55
152,Xavier,36,USA,42
153,Diana,34,Turkey,87
154,Steve,21,Belgium,35
155,Yvonne,21,Switzerland,14
156,Aaron,31,Japan,65
157,Aaron,43,Egypt,11
158,Victor,58,Russia,32
159,Mike,61,Austria,19
160,Quinn,42,UAE,4
161,Fiona,36,Philippines,28
162,Hannah,31,Israel,19
163,Ivan,58,Finland,62
164,Laura,21,USA,22
165,Matt,35,Switzerland,52
166,Carl,41,Egypt,62
167,Carl,41,Malaysia,58
168,Julia,44,India,29
169,Victor,31,Japan,19
170,Laura,38,Egypt,18
171,Xavier,58,Canada,11
172,Paula,58,Singapore,87
173,Bella,23,Belgium,80
174,Jack,30,China,72
175,Nina,53,USA,63
